date,open,high,low,adjClose,value,volume,count,close
2014-03-03,638.0,639.0,600.0,623.0,1652762598,2651902,778,625.0
2014-03-04,620.0,672.0,602.0,652.0,714170945,1094533,303,672.0
2014-03-05,704.0,704.0,704.0,704.0,253250624,359731,97,704.0
2014-03-08,760.0,760.0,760.0,760.0,1740444080,2290058,533,760.0
2014-03-09,799.0,820.0,721.0,787.0,7620878205,9682247,2618,787.0
2014-03-10,770.0,801.0,732.0,752.0,6047797621,8038310,2584,752.0
2014-03-11,740.0,750.0,692.0,707.0,8280381763,11716845,3631,707.0
2014-03-12,653.0,732.0,653.0,680.0,9650215145,14181928,5754,690.0
2014-03-15,693.0,734.0,692.0,728.0,11161765133,15340152,3514,734.0
2014-03-16,734.0,786.0,726.0,770.0,8112161297,10539783,2579,786.0
2014-03-17,795.0,831.0,783.0,818.0,10499880763,12831029,1371,831.0
2014-03-18,883.0,883.0,820.0,872.0,17601646527,20184516,1932,883.0
2014-03-19,890.0,941.0,864.0,933.0,19898367783,21336406,2510,941.0
2014-03-25,950.0,1007.0,890.0,975.0,18579516880,19056844,1666,1007.0
2014-04-29,1130.0,1130.0,1040.0,1063.0,37656619179,35410394,2626,1040.0
2014-04-30,1040.0,1129.0,982.0,1053.0,32856220376,31208807,2302,1050.0
2014-05-03,1013.0,1050.0,997.0,1021.0,19478727936,19086830,1449,1000.0
2014-05-04,966.0,1005.0,940.0,961.0,28118720387,29271330,2139,990.0
2014-05-05,990.0,1037.0,990.0,1020.0,23525069062,23056396,1477,1037.0
2014-05-06,1043.0,1074.0,980.0,1034.0,15674064438,15161316,1158,1017.0
2014-05-07,981.0,1009.0,955.0,977.0,14700183703,15040762,1119,975.0
2014-05-10,1000.0,1039.0,959.0,1002.0,20496989223,20450772,1627,990.0
2014-05-11,991.0,1000.0,960.0,970.0,13149225272,13559443,1024,962.0
2014-05-12,951.0,979.0,931.0,951.0,13158674732,13843072,1107,938.0
2014-05-14,911.0,951.0,904.0,923.0,10898707744,11803462,1012,911.0
2014-05-17,872.0,887.0,850.0,854.0,7890593576,9242608,521,850.0
2014-05-18,850.0,870.0,801.0,830.0,27518286753,33142511,1923,828.0
2014-05-19,830.0,830.0,764.0,774.0,21323221687,27533585,1595,770.0
2014-05-20,743.0,819.0,743.0,789.0,21328578205,27049291,2048,794.0
2014-05-21,800.0,830.0,770.0,796.0,13573531137,17061930,1110,780.0
2014-05-24,767.0,790.0,733.0,742.0,16656360744,22439332,1441,733.0
2014-05-25,711.0,718.0,683.0,686.0,14019547143,20429173,1212,683.0
2014-05-26,652.0,686.0,640.0,652.0,10570621571,16202457,1080,641.0
2014-05-28,640.0,685.0,621.0,659.0,30220792119,45856360,2821,630.0
2014-07-21,550.0,550.0,550.0,550.0,367950000,669000,20,550.0
2014-07-22,594.0,594.0,594.0,594.0,2113176384,3557536,85,594.0
2014-07-23,556.0,556.0,550.0,550.0,1540627500,2800500,58,550.0
2014-07-26,594.0,594.0,510.0,513.0,4732908080,9217608,196,510.0
2014-07-27,513.0,513.0,490.0,490.0,10082672970,20570453,217,490.0
2014-07-28,490.0,490.0,451.0,454.0,34749131467,76586748,1630,451.0
2014-08-02,422.0,427.0,418.0,419.0,24939065970,59487576,1342,418.0
2014-08-03,420.0,452.0,420.0,421.0,228727339920,543310838,8220,423.0
2015-05-18,341.0,368.0,331.0,348.0,4896040207,14062426,1071,368.0
2015-05-19,375.0,375.0,375.0,375.0,2059440375,5491841,259,375.0
2015-05-20,404.0,404.0,362.0,383.0,9824206093,25645988,1350,371.0
2015-05-23,354.0,359.0,345.0,349.0,3025204088,8658799,683,347.0
2015-05-24,333.0,360.0,330.0,349.0,3061807046,8777357,600,352.0
2015-05-25,350.0,369.0,337.0,353.0,2460368354,6979571,602,347.0
2015-05-26,340.0,348.0,335.0,339.0,1844239278,5446870,455,336.0
2015-05-27,336.0,341.0,327.0,331.0,2410409552,7279668,460,330.0
2015-05-30,317.0,338.0,317.0,332.0,1367567448,4123765,314,323.0
2015-05-31,320.0,325.0,311.0,317.0,1712110919,5399679,333,311.0
2015-06-01,319.0,333.0,302.0,321.0,2212585977,6884776,429,329.0
2015-06-02,320.0,340.0,320.0,332.0,1231448928,3707483,255,330.0
2015-06-06,336.0,336.0,325.0,329.0,577596920,1755873,115,325.0
2015-06-07,320.0,323.0,312.0,315.0,749771453,2380993,299,313.0
2015-06-08,307.0,307.0,284.0,289.0,3484072147,12069853,745,284.0
2015-06-09,268.0,280.0,261.0,264.0,1435610290,5444275,249,263.0
2015-06-10,245.0,282.0,245.0,270.0,1003846566,3713312,229,280.0
2015-06-13,271.0,297.0,271.0,287.0,1575055500,5481702,327,291.0
2015-06-14,311.0,311.0,284.0,293.0,844744473,2884075,260,285.0
2015-06-15,284.0,284.0,268.0,272.0,723141371,2660116,185,270.0
2015-06-16,270.0,299.0,264.0,287.0,1342492215,4670679,246,299.0
2015-06-17,300.0,315.0,300.0,313.0,2181142306,6968042,604,315.0
2015-06-20,335.0,344.0,314.0,336.0,8218886447,24448278,1294,335.0
2015-06-21,326.0,363.0,320.0,345.0,3232805843,9357711,640,341.0
2015-06-22,331.0,379.0,331.0,371.0,6580989684,17732976,1035,379.0
2015-06-23,408.0,408.0,407.0,408.0,5884488446,14423012,398,408.0
2015-06-24,445.0,448.0,410.0,439.0,16675215348,37983641,1914,440.0
2015-06-27,444.0,474.0,420.0,449.0,6965380636,15507916,898,434.0
2015-06-28,423.0,439.0,405.0,411.0,8889504293,21635829,1043,405.0
2015-06-29,390.0,450.0,390.0,430.0,12028017113,27961131,1409,440.0
2015-06-30,442.0,473.0,442.0,468.0,17599596161,37612433,1844,473.0
2015-07-01,482.0,491.0,454.0,474.0,11749066191,24788083,1261,472.0
2015-07-04,489.0,520.0,480.0,502.0,20064358317,39937675,2300,509.0
2015-07-05,500.0,514.0,452.0,472.0,21279722915,45111012,2409,465.0
2015-07-06,445.0,475.0,430.0,448.0,15924851883,35581118,2219,438.0
2015-07-07,435.0,467.0,415.0,434.0,28439059886,65491493,3574,430.0
2015-07-11,393.0,417.0,391.0,392.0,41948506781,106885944,4202,392.0
2015-08-10,450.0,450.0,450.0,450.0,2250000000,5000000,50,450.0
