date,open,high,low,adjClose,value,volume,count,close
2020-08-11,22000.0,22140.0,19800.0,20659.0,415145859182,20095518,5961,19820.0
2020-08-12,21000.0,21500.0,18590.0,19650.0,647225149630,32937470,8675,18650.0
2020-08-15,17690.0,18500.0,17690.0,17710.0,58546803420,3306038,1128,17690.0
2020-08-16,16200.0,16800.0,15940.0,16140.0,116125457740,7194799,1679,15940.0
2020-08-17,16250.0,17000.0,15050.0,15870.0,296208623810,18665802,4532,15640.0
2020-08-18,15200.0,16060.0,14810.0,15300.0,300018428210,19608535,4168,15490.0
2020-08-19,13770.0,14800.0,13770.0,13870.0,68178341580,4916782,1148,14550.0
2020-08-22,14500.0,15100.0,12490.0,13320.0,164198063540,12331795,3612,12930.0
2020-08-23,12620.0,13000.0,11990.0,12160.0,78423629790,6448915,1560,11990.0
2020-08-24,12800.0,12800.0,10940.0,11180.0,176875998590,15820946,3221,11250.0
2020-08-25,12200.0,12300.0,11500.0,12250.0,161303852540,13172058,1990,12300.0
2020-08-26,13480.0,13480.0,13480.0,13480.0,51103717960,3791077,768,13480.0
2020-08-31,14830.0,14830.0,13010.0,14190.0,505679459780,35626876,6013,14260.0
2020-09-01,13680.0,13760.0,12770.0,12850.0,135235414840,10520428,1475,12770.0
2020-09-02,12300.0,12390.0,11570.0,11870.0,210893549910,17771504,2807,11940.0
2020-09-05,13060.0,13060.0,12000.0,12790.0,251399158330,19662401,4883,13060.0
2020-09-06,13470.0,13800.0,11750.0,12650.0,230679620210,18238924,4410,12010.0
2020-09-07,11550.0,11920.0,11390.0,11430.0,70692525740,6186562,1370,11390.0
2020-09-08,10290.0,10290.0,10290.0,10290.0,7419655950,721055,181,10290.0
2020-09-09,9550.0,11250.0,9350.0,10520.0,273942156250,26028062,5051,11090.0
2020-09-12,11570.0,11570.0,10800.0,11430.0,304024559370,26610326,4168,11560.0
2020-09-13,11100.0,12000.0,10350.0,11200.0,272358135620,24313388,4174,11560.0
2020-09-14,11250.0,12300.0,11010.0,11810.0,263379537970,22292861,4335,12050.0
2020-09-15,12100.0,12990.0,12000.0,12760.0,163882586670,12839530,3316,12990.0
2020-09-16,13340.0,13800.0,11960.0,12730.0,303769201280,23854994,5675,12000.0
2020-09-19,11980.0,12290.0,11460.0,11730.0,165823712820,14137345,3324,11460.0
2020-09-20,10700.0,11100.0,10560.0,10640.0,204448310040,19210408,3343,10560.0
2020-09-21,9930.0,11090.0,9930.0,10480.0,151804584920,14487821,2919,10810.0
2020-09-22,10960.0,11240.0,10180.0,10810.0,188931375170,17478808,3297,11200.0
2020-09-23,11150.0,11650.0,10500.0,11050.0,170366979640,15411516,2933,11000.0
2020-09-26,11050.0,11300.0,10300.0,10630.0,121068981600,11391682,2256,10580.0
2020-09-27,10020.0,10390.0,9570.0,9630.0,93221771090,9683913,1616,9590.0
2020-09-28,9100.0,9100.0,8670.0,8720.0,41767437390,4789983,680,8670.0
2020-09-29,8010.0,9300.0,8010.0,8840.0,128815454150,14576421,3100,9270.0
2020-09-30,9300.0,9600.0,8800.0,9250.0,102252991610,11059610,2519,9560.0
2020-10-03,9670.0,10180.0,9400.0,9930.0,134265536320,13526344,2916,10180.0
2020-10-04,10400.0,10500.0,8940.0,9880.0,167534843560,16963799,3358,9680.0
2020-10-05,9100.0,10870.0,9100.0,10480.0,348493325200,33252168,5516,10870.0
2020-10-06,10960.0,11320.0,10850.0,11080.0,305699866760,27593651,4880,11100.0
